Chunk,Type,Correct Form
subway,Compounds,TRUE
sunbaked,Compounds,TRUE
sunbathe,Compounds,TRUE
sundial,Compounds,TRUE
sundown,Compounds,TRUE
sunfish,Compounds,TRUE
sunflower,Compounds,TRUE
sunglasses,Compounds,TRUE
sunlit,Compounds,TRUE
sunray,Compounds,TRUE
sunroof,Compounds,TRUE
sunshine,Compounds,TRUE
sunup,Compounds,TRUE
supercargo,Compounds,TRUE
supercharge,Compounds,TRUE
supercool,Compounds,TRUE
superego,Compounds,TRUE
superfine,Compounds,TRUE
supergiant,Compounds,TRUE
superhero,Compounds,TRUE
superhighways,Compounds,TRUE
superhuman,Compounds,TRUE
superimpose,Compounds,TRUE
superman,Compounds,TRUE
supermarket,Compounds,TRUE
supermen,Compounds,TRUE
supernatural,Compounds,TRUE
superpower,Compounds,TRUE
superscript,Compounds,TRUE
supersensitive,Compounds,TRUE
supersonic,Compounds,TRUE
superstar,Compounds,TRUE
superstrong,Compounds,TRUE
superstructure,Compounds,TRUE
supertanker,Compounds,TRUE
superweapon,Compounds,TRUE
superwoman,Compounds,TRUE
surfboard,Compounds,TRUE
sweetheart,Compounds,TRUE
sweetmeat,Compounds,TRUE
tablecloth,Compounds,TRUE
tablespoon,Compounds,TRUE
tabletop,Compounds,TRUE
tableware,Compounds,TRUE
tadpole,Compounds,TRUE
tagalong,Compounds,TRUE
tailbone,Compounds,TRUE
tailcoat,Compounds,TRUE
tailgate,Compounds,TRUE
taillight,Compounds,TRUE
taillike,Compounds,TRUE
tailpiece,Compounds,TRUE
tailspin,Compounds,TRUE
takeoff,Compounds,TRUE
takeout,Compounds,TRUE
takeover,Compounds,TRUE
talebearer,Compounds,TRUE
taleteller,Compounds,TRUE
tapeworm,Compounds,TRUE
taproom,Compounds,TRUE
taproot,Compounds,TRUE
target,Compounds,TRUE
taskmaster,Compounds,TRUE
taxicab,Compounds,TRUE
taxpayer,Compounds,TRUE
teacup,Compounds,TRUE
teammate,Compounds,TRUE
teamwork,Compounds,TRUE
teapot,Compounds,TRUE
teaspoon,Compounds,TRUE
teenager,Compounds,TRUE
telltale,Compounds,TRUE
tenderfoot,Compounds,TRUE
tenfold,Compounds,TRUE
textbook,Compounds,TRUE
themselves,Compounds,TRUE
therefore,Compounds,TRUE
throwaway,Compounds,TRUE
throwback,Compounds,TRUE
thunderbird,Compounds,TRUE
thunderbolt,Compounds,TRUE
thunderstorm,Compounds,TRUE
timekeeper,Compounds,TRUE
timepieces,Compounds,TRUE
timesaving,Compounds,TRUE
timeshare,Compounds,TRUE
timetable,Compounds,TRUE
today,Compounds,TRUE
